site,code,description,discount
Amazon,SAVE20,Get 20% off on electronics,20% OFF
Flipkart,FLIP50,Flat ₹50 off on orders above ₹500,₹50 OFF
Myntra,FASHION30,30% off on fashion items,30% OFF
Ajio,AJIO100,₹100 off on first order,₹100 OFF
Nykaa,BEAUTY15,15% off on beauty products,15% OFF
Amazon,MOBILE10,10% off on mobiles,10% OFF
Flipkart,GADGET25,25% off on gadgets,25% OFF
Myntra,STYLE40,40% off on select styles,40% OFF
Ajio,NEWUSER,Extra 20% off for new users,20% OFF
Amazon,PRIME50,₹50 cashback for Prime members,₹50 Cashback
